,,,,,,,,,,Chronolgical Listing of Batch Events (with Manual Events),,,,,,,,
From:,,08/01/2024,,,,To:,09/01/2024,,,,,,,,,,,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 06:27:51,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93251,401-005-201,,REV-36,,,30317,,,4965,,,0.5882,0.5801
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8071.28,,8045.00,,,kg,-0.33%,,,0.50%,,,,
,BASALTO,,,,4732.80,,4775.00,,,kg,0.89%,,,0.50%,,,,
,ARENA,,,,1982.88,,1990.00,,,kg,0.36%,,,0.50%,,,,
,CEMENTO CPC1,,,,2720.00,,2758.00,,,kg,1.40%,,,,,,,
,AGUA,,,,1527.32,,1527.00,,,L,-0.02%,,,,,,,
,M-12,,,,17680.00,,17670.00,,,mL,-0.06%,,,,,,,
,,,,,,,156.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,259.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 06:44:11,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93252,401-005-201,,REV-44,,,30317,,,4965,,,0.5882,0.5889
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8071.28,,8045.00,,,kg,-0.33%,,,0.50%,,,,
,BASALTO,,,,4732.80,,5165.00,,,kg,9.13%,,,0.50%,,,,
,ARENA,,,,1982.88,,1980.00,,,kg,-0.15%,,,0.50%,,,,
,CEMENTO CPC1,,,,2720.00,,2718.00,,,kg,-0.07%,,,,,,,
,AGUA,,,,1527.32,,1528.00,,,L,0.04%,,,,,,,
,M-12,,,,17680.00,,17670.00,,,mL,-0.06%,,,,,,,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,137.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,56.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 06:55:47,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,AGUA,,,,,,33.00,,,L,,,,,,,Manual Event NonLoad,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 06:59:05,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93253,401-005-201,,REV-30,,,30317,,,4965,,,0.5882,0.5869
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8071.28,,8020.00,,,kg,-0.64%,,,0.50%,,,,
,BASALTO,,,,4732.80,,4845.00,,,kg,2.37%,,,0.50%,,,,
,ARENA,,,,1982.88,,1995.00,,,kg,0.61%,,,0.50%,,,,
,CEMENTO CPC1,,,,2720.00,,2726.00,,,kg,0.22%,,,,,,,
,AGUA,,,,1527.32,,1527.00,,,L,-0.02%,,,,,,,
,M-12,,,,17680.00,,17700.00,,,mL,0.11%,,,,,,,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,27.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chronolgical Listing of Batch Events (with Manual Events),,,,,,,,
From:,,08/01/2024,,,,To:,09/01/2024,,,,,,,,,,,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:10:51,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,AGUA,,,,,,41.00,,,L,,,,,,,Manual Event NonLoad,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:18:59,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93254,401-005-502,,REV-34,,,30318,,,4937,,,0.6119,0.611
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,7714.00,,7695.00,,,kg,-0.25%,,,0.50%,,,,
,BASALTO,,,,5116.32,,5430.00,,,kg,6.13%,,,0.50%,,,,
,ARENA,,,,2195.04,,2205.00,,,kg,0.45%,,,0.50%,,,,
,CEMENTO CPC1,,,,2680.00,,2684.00,,,kg,0.15%,,,,,,,
,AGUA,,,,1566.16,,1566.00,,,L,-0.01%,,,,,,,
,M-12,,,,14784.00,,14760.00,,,mL,-0.16%,,,,,,,
,,,,,,,139.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,117.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:28:24,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,AGUA,,,,,,39.00,,,L,,,,,,,Manual Event NonLoad,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:29:28,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,AGUA,,,,,,24.00,,,L,,,,,,,Manual Event NonLoad,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:29:54,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,7.00,m3,,,93255,401-005-201,,REV-26,,,30317,,,4965,,,0.5882,0.5858
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,7062.37,,7060.00,,,kg,-0.03%,,,0.50%,,,,
,BASALTO,,,,4141.20,,4395.00,,,kg,6.13%,,,0.50%,,,,
,ARENA,,,,1735.02,,1730.00,,,kg,-0.29%,,,0.50%,,,,
,CEMENTO CPC1,,,,2380.00,,2390.00,,,kg,0.42%,,,,,,,
,AGUA,,,,1336.41,,1336.00,,,L,-0.03%,,,,,,,
,M-12,,,,15470.00,,15480.00,,,mL,0.06%,,,,,,,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,86.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,54.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chronolgical Listing of Batch Events (with Manual Events),,,,,,,,
From:,,08/01/2024,,,,To:,09/01/2024,,,,,,,,,,,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:40:34,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,AGUA,,,,,,27.00,,,L,,,,,,,Manual Event NonLoad,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:40:49,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93256,401-005-502,,REV-32,,,30318,,,4937,,,0.6119,0.6142
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,7714.00,,7705.00,,,kg,-0.12%,,,0.50%,,,,
,BASALTO,,,,5116.32,,5070.00,,,kg,-0.91%,,,0.50%,,,,
,ARENA,,,,2195.04,,2180.00,,,kg,-0.69%,,,0.50%,,,,
,CEMENTO CPC1,,,,2680.00,,2670.00,,,kg,-0.37%,,,,,,,
,AGUA,,,,1566.16,,1566.00,,,L,-0.01%,,,,,,,
,M-12,,,,14784.00,,14760.00,,,mL,-0.16%,,,,,,,
,,,,,,,20.00,,,L,,,,,,,Manual Event W/ Load,
,AGUA,,,,,,34.00,,,L,,,,,,,Manual Event W/ Load,
,AGUA,,,,,,5.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,27.00,,,L,,,,,,,Manual Event W/ Load,
,AGUA,,,,,,31.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 07:53:52,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93257,401-005-201,,REV-38,,,30317,,,4965,,,0.5882,0.5895
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8071.28,,8000.00,,,kg,-0.88%,,,0.50%,,,,
,BASALTO,,,,4732.80,,4705.00,,,kg,-0.59%,,,0.50%,,,,
,ARENA,,,,1982.88,,1970.00,,,kg,-0.65%,,,0.50%,,,,
,CEMENTO CPC1,,,,2720.00,,2714.00,,,kg,-0.22%,,,,,,,
,AGUA,,,,1527.32,,1527.00,,,L,-0.02%,,,,,,,
,M-12,,,,17680.00,,17670.00,,,mL,-0.06%,,,,,,,
,,,,,,,419.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,121.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,498.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,66.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,29.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 08:05:39,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,3.00,m3,,,93258,401-003-491,,REV-20,,,30319,,,4086,,,0.6457,0.6446
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,2924.55,,2920.00,,,kg,-0.16%,,,0.50%,,,,
,BASALTO,,,,1896.44,,1975.00,,,kg,4.14%,,,0.50%,,,,
,CEMENTO  CPC,,,,906.00,,908.00,,,kg,0.22%,,,,,,,
,AGUA,,,,556.97,,557.00,,,L,0.01%,,,,,,,
,M-12,,,,6795.00,,6810.00,,,mL,0.22%,,,,,,,
,ARENA,,,,814.05,,795.00,,,kg,-2.34%,,,0.50%,,,,
,AA009,,,,8.70,,8.70,,,kg,0.00%,,,,,,,
,AA009,,,,,,8.70,,,kg,,,,,,,Manual Event W/ Load,
,,,,,,,451.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chronolgical Listing of Batch Events (with Manual Events),,,,,,,,
From:,,08/01/2024,,,,To:,09/01/2024,,,,,,,,,,,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 08:12:29,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93259,401-005-021,,REV-40,,,30320,,,4993,,,0.6842,0.6838
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8266.16,,8195.00,,,kg,-0.86%,,,0.50%,,,,
,BASALTO,,,,5679.36,,5700.00,,,kg,0.36%,,,0.50%,,,,
,CEMENTO CPC1,,,,2280.00,,2282.00,,,kg,0.09%,,,,,,,
,AGUA,,,,1484.48,,1485.00,,,L,0.04%,,,,,,,
,M-12,,,,12544.00,,12540.00,,,mL,-0.03%,,,,,,,
,ARENA,,,,1419.84,,1405.00,,,kg,-1.05%,,,0.50%,,,,
,,,,,,,662.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,120.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,38.00,,,L,,,,,,,Manual Event W/ Load,
,,,,,,,36.00,,,L,,,,,,,Manual Event W/ Load,
---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
01/08/2024 08:24:01,,,,,,,,,,,,,,,,,,
a.m.,,,,,,,,,,,,,,,,,,
,,Load Size:,,Ticket:,,Mix:,,Truck:,,,Order:,,Project:,,Target W/C:,,,Actual W/C:
,8.00,m3,,,93260,401-005-201,,REV-06,,,30317,,,4965,,,0.5882,0.5835
,Material,,,,Target,,,Actual,,,, % Var,,,% Moisture,,,
,GRAVA 3/4,,,,8071.28,,8040.00,,,kg,-0.39%,,,0.50%,,,,
,BASALTO,,,,4732.80,,4780.00,,,kg,1.00%,,,0.50%,,,,
,ARENA,,,,1982.88,,1970.00,,,kg,-0.65%,,,0.50%,,,,
,CEMENTO CPC1,,,,2720.00,,2742.00,,,kg,0.81%,,,,,,,
,AGUA,,,,1527.32,,1527.00,,,L,-0.02%,,,,,,,
